global_id,timestamp,run_tag,fee_rate,invest_percent,atr_mult_sl,atr_period,bb_period,bb_position_pct,bb_std_mult,confirmation_candles,ma_long,ma_short,macd_fast,macd_hist_min,macd_signal_period,macd_slow,max_position_candles,min_candles_between,momentum_period,momentum_threshold,rsi_oversold,rsi_period,sl_percent,tp_percent,use_atr_sl,use_bb,use_ma_cross,use_macd,use_momentum,use_rsi,use_volume,vol_ma_period,vol_multiplier,total_ops,ganadoras,perdedoras,winrate,ganancia_media_por_op,ganancia_media_ganadoras,perdida_media_perdedoras,mejor_operacion,peor_operacion,pnl_neto,pnl_por_operacion,roi_mensual,pnl_mensual,max_drawdown,score,tiempo_medio_h,ops_por_mes
882,2026-07-07T23:46:30.380896+00:00,20260707_234630,0.08,100.0,2.44,11,17,2.99,1.93,1,23,8,16,25,11,31,24,2,13,1.92,31,16,1.32,0.55,True,True,False,True,False,False,True,10,1.28,4208,2954,1254,70.2,0.06,1.09,-2.38,12.88,-21.32,-995.0,-0.24,-1.0,-10.04,62.89,0.62,8.85,42.48
883,2026-07-07T23:46:30.380909+00:00,20260707_234630,0.08,100.0,2.96,20,11,3.43,1.77,2,24,20,16,69,10,32,14,0,11,2.05,28,12,1.97,3.26,True,True,True,False,False,False,True,19,1.33,4815,2551,2264,52.98,0.1,1.74,-1.75,17.38,-20.2,-989.85,-0.21,-1.0,-9.99,74.05,-3.62,12.3,48.6
884,2026-07-07T23:46:30.380921+00:00,20260707_234630,0.08,100.0,1.48,15,21,1.45,2.66,1,42,15,14,70,10,33,6,1,17,0.95,26,13,3.8,4.78,False,False,True,True,True,False,False,27,2.1,3037,1518,1519,49.98,0.14,1.4,-1.12,11.57,-9.14,-692.46,-0.23,-0.7,-6.99,47.44,0.03,5.88,30.66
885,2026-07-07T23:46:30.380934+00:00,20260707_234630,0.08,100.0,2.03,20,29,3.17,2.69,0,22,5,17,37,8,36,10,1,11,2.43,38,7,4.24,3.2,True,False,True,True,True,True,True,24,1.57,3225,1695,1530,52.56,0.03,1.8,-1.93,13.48,-18.21,-995.11,-0.31,-1.0,-10.04,80.13,-4.63,8.58,32.55
886,2026-07-07T23:46:30.380945+00:00,20260707_234630,0.08,100.0,2.63,15,30,3.84,2.01,3,31,17,20,50,9,34,11,0,6,2.25,31,18,2.58,3.78,True,True,True,True,True,True,False,26,1.83,3630,1867,1763,51.43,0.05,1.67,-1.68,12.25,-19.92,-995.01,-0.27,-1.0,-10.04,75.71,-4.12,9.96,36.64
887,2026-07-07T23:46:30.380956+00:00,20260707_234630,0.08,100.0,1.1,19,23,2.47,2.51,0,38,10,13,61,8,36,16,0,14,2.82,41,19,0.6,4.97,False,False,False,True,True,False,True,30,2.02,2633,820,1813,31.14,-0.01,2.99,-1.37,17.38,-18.63,-995.02,-0.38,-1.0,-10.04,85.13,-8.61,7.6,26.58
888,2026-07-07T23:46:30.380970+00:00,20260707_234630,0.08,100.0,1.35,20,22,0.07,2.15,0,42,12,9,21,11,33,7,4,6,2.2,35,14,4.62,1.27,True,False,False,True,False,True,False,20,2.07,2797,1530,1267,54.7,0.04,1.2,-1.36,13.51,-19.74,-977.73,-0.35,-0.99,-9.87,65.28,-2.09,5.24,28.23
889,2026-07-07T23:46:30.380983+00:00,20260707_234630,0.08,100.0,1.05,14,27,3.98,2.1,2,44,12,20,29,10,28,19,0,12,0.57,33,18,4.38,2.47,False,False,False,True,False,False,False,29,1.36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
890,2026-07-07T23:46:30.380994+00:00,20260707_234630,0.08,100.0,1.75,15,22,1.39,2.55,3,35,18,17,35,7,39,10,4,6,2.04,29,11,1.02,3.17,True,False,False,False,True,True,True,29,2.11,1302,668,634,51.31,-0.03,1.78,-1.92,14.08,-21.5,-945.1,-0.73,-0.95,-9.54,77.88,-4.58,8.49,13.14
891,2026-07-07T23:46:30.381008+00:00,20260707_234630,0.08,100.0,2.25,17,14,3.27,2.68,0,45,20,14,20,8,25,10,5,14,0.66,22,9,4.22,2.62,False,False,True,True,False,False,False,27,1.35,2124,1060,1064,49.91,-0.02,1.48,-1.5,8.96,-9.18,-985.66,-0.46,-0.99,-9.95,79.18,-4.92,9.2,21.44
